"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"SF001447910","NOUPOORT, SF","2020-07-01","50","68","31"
"SF001447910","NOUPOORT, SF","2020-07-02","45","68","33"
"SF001447910","NOUPOORT, SF","2020-07-03","47","68","33"
"SF001447910","NOUPOORT, SF","2020-07-04","46","68","28"
"SF001447910","NOUPOORT, SF","2020-07-05","50","71","33"
"SF001447910","NOUPOORT, SF","2020-07-06","50","71","33"
"SF001447910","NOUPOORT, SF","2020-07-07","47","69","33"
"SF001447910","NOUPOORT, SF","2020-07-08","54","65","40"
"SF001447910","NOUPOORT, SF","2020-07-09","56","67","50"
"SF001447910","NOUPOORT, SF","2020-07-10","55","67","45"
"SF001447910","NOUPOORT, SF","2020-07-11","39","67","33"
"SF001447910","NOUPOORT, SF","2020-07-12","40","53","21"
"SF001447910","NOUPOORT, SF","2020-07-13","46","56","36"
"SF001447910","NOUPOORT, SF","2020-07-14","35","56","25"
"SF001447910","NOUPOORT, SF","2020-07-15","34","53","20"
"SF001447910","NOUPOORT, SF","2020-07-16","42","60","23"
"SF001447910","NOUPOORT, SF","2020-07-17","43","62","29"
"SF001447910","NOUPOORT, SF","2020-07-18","44","66","30"
"SF001447910","NOUPOORT, SF","2020-07-19","47","66","33"
"SF001447910","NOUPOORT, SF","2020-07-20","46","68","27"
"SF001447910","NOUPOORT, SF","2020-07-21","48","68","30"
"SF001447910","NOUPOORT, SF","2020-07-22","50","68","36"
"SF001447910","NOUPOORT, SF","2020-07-23","50","68","36"
"SF001447910","NOUPOORT, SF","2020-07-24","47","68","33"
"SF001447910","NOUPOORT, SF","2020-07-25","46","65","29"
"SF001447910","NOUPOORT, SF","2020-07-26","46","64","28"
"SF001447910","NOUPOORT, SF","2020-07-27","46","63","37"
"SF001447910","NOUPOORT, SF","2020-07-28","45","66","29"
"SF001447910","NOUPOORT, SF","2020-07-29","47","66","35"
"SF001447910","NOUPOORT, SF","2020-07-30","49","68","29"
"SF001447910","NOUPOORT, SF","2020-07-31","50","71","36"
"SF001447910","NOUPOORT, SF","2020-08-01","51","71","33"
"SF001447910","NOUPOORT, SF","2020-08-02","51","71","29"
"SF001447910","NOUPOORT, SF","2020-08-03","50","71","33"
"SF001447910","NOUPOORT, SF","2020-08-04","50","71","34"
"SF001447910","NOUPOORT, SF","2020-08-05","48","68","36"
"SF001447910","NOUPOORT, SF","2020-08-06","38","66","34"
"SF001447910","NOUPOORT, SF","2020-08-07","43","58","32"
"SF001447910","NOUPOORT, SF","2020-08-08","55","67","39"
"SF001447910","NOUPOORT, SF","2020-08-09","45","67","35"
"SF001447910","NOUPOORT, SF","2020-08-10","41","57","26"
"SF001447910","NOUPOORT, SF","2020-08-11","44","64","28"
"SF001447910","NOUPOORT, SF","2020-08-12","42","64","24"
"SF001447910","NOUPOORT, SF","2020-08-13","43","62","29"
"SF001447910","NOUPOORT, SF","2020-08-14","47","67","29"
"SF001447910","NOUPOORT, SF","2020-08-15","48","67","32"
"SF001447910","NOUPOORT, SF","2020-08-16","37","62","29"
"SF001447910","NOUPOORT, SF","2020-08-17","40","57","22"
"SF001447910","NOUPOORT, SF","2020-08-18","36","57","30"
"SF001447910","NOUPOORT, SF","2020-08-19","35","51","18"
"SF001447910","NOUPOORT, SF","2020-08-20","41","59","26"
"SF001447910","NOUPOORT, SF","2020-08-21","49","62","37"
"SF001447910","NOUPOORT, SF","2020-08-22","49","67","35"
"SF001447910","NOUPOORT, SF","2020-08-23","50","71","29"
"SF001447910","NOUPOORT, SF","2020-08-24","54","72","35"
"SF001447910","NOUPOORT, SF","2020-08-25","48","72","37"
"SF001447910","NOUPOORT, SF","2020-08-27","56","69","40"
"SF001447910","NOUPOORT, SF","2020-08-28","42","69","26"
"SF001447910","NOUPOORT, SF","2020-08-29","40","56","28"
"SF001447910","NOUPOORT, SF","2020-08-30","37","52","24"
"SF001447910","NOUPOORT, SF","2020-08-31","42","56","26"
"SF001447910","NOUPOORT, SF","2020-09-01","56","65","35"
"SF001447910","NOUPOORT, SF","2020-09-02","54","65","50"
"SF001447910","NOUPOORT, SF","2020-09-03","53","71","43"
"SF001447910","NOUPOORT, SF","2020-09-04","67","83","50"
"SF001447910","NOUPOORT, SF","2020-09-05","58","83","51"
"SF001447910","NOUPOORT, SF","2020-09-06","52","75","45"
"SF001447910","NOUPOORT, SF","2020-09-07","60","68","40"
"SF001447910","NOUPOORT, SF","2020-09-08","57","78","43"
"SF001447910","NOUPOORT, SF","2020-09-09","65","83","52"
"SF001447910","NOUPOORT, SF","2020-09-10","67","84","51"
"SF001447910","NOUPOORT, SF","2020-09-11","65","84","47"
"SF001447910","NOUPOORT, SF","2020-09-12","72","83","60"
"SF001447910","NOUPOORT, SF","2020-09-13","65","83","57"
"SF001447910","NOUPOORT, SF","2020-09-14","53","63","41"
"SF001447910","NOUPOORT, SF","2020-09-15","50","66","38"
"SF001447910","NOUPOORT, SF","2020-09-16","51","66","35"
"SF001447910","NOUPOORT, SF","2020-09-17","56","72","39"
"SF001447910","NOUPOORT, SF","2020-09-18","59","76","43"
"SF001447910","NOUPOORT, SF","2020-09-19","59","78","46"
"SF001447910","NOUPOORT, SF","2020-09-20","58","78","37"
"SF001447910","NOUPOORT, SF","2020-09-21","48","76","40"
"SF001447910","NOUPOORT, SF","2020-09-22","55","74","37"
"SF001447910","NOUPOORT, SF","2020-09-23","62","77","43"
"SF001447910","NOUPOORT, SF","2020-09-24","66","81","47"
"SF001447910","NOUPOORT, SF","2020-09-25","65","81","51"
"SF001447910","NOUPOORT, SF","2020-09-26","49","77","40"
"SF001447910","NOUPOORT, SF","2020-09-27","46","59","33"
"SF001447910","NOUPOORT, SF","2020-09-28","49","62","35"
"SF001447910","NOUPOORT, SF","2020-09-29","51","64","36"
"SF001447910","NOUPOORT, SF","2020-09-30","53","70","33"
"SF001447910","NOUPOORT, SF","2020-10-01","50","70","40"
"SF001447910","NOUPOORT, SF","2020-10-02","53","69","44"
